98,UT,Nelson Cruz,MIN,17,Error Jordan
99,P,Jose Quintana,CHC,10,New Team 7
100,1B,Max Muncy,LAD,12,Bash Brothers
101,SS,Jurickson Profar,OAK,11,Rougned Odor (M)
102,OF,Mallex Smith,SEA,12,Team Burbatt
103,2B,Rougned Odor,(N/A),15,Wofford Terriers
104,P,Jameson Taillon,PIT,16,Bash Brothers
105,OF,Andrew McCutchen,PHI,16,TWTW
106,P,German Marquez,COL,15,Margaritaville Fins
107,P,Jack Flaherty,STL,16,New Team 7
108,P,Miles Mikolas,STL,10,Team Burbatt
109,3B,Rafael Devers,BOS,14,Bat shit crazy - ain't it Jon Jay
110,OF,Tommy Pham,TB,20,Bat shit crazy - ain't it Jon Jay
111,SS,Corey Seager,LAD,17,Team Burbatt
112,SS,Willy Adames,TB,5,New Team 7
113,3B,Mike Moustakas,MIL,11,Team Burbatt
114,P,Luis Castillo,CIN,9,Rougned Odor (M)
115,P,Dellin Betances,NYY,7,Wofford Terriers
116,P,Zack Wheeler,NYM,16,Team Burbatt
117,P,Joey Lucchesi,SD,7,SouthSliders
118,2B,Daniel Murphy,COL,15,Margaritaville Fins
119,3B,Wil Myers,SD,16,Margaritaville Fins
120,OF,Nicholas Castellanos,DET,17,Margaritaville Fins
121,P,Vince Velasquez,PHI,3,SouthSliders
122,P,Carlos Martinez,STL,6,Aunt Becky's Scholar Athletes
123,SS,Jose Peraza,CIN,5,Wofford Terriers
124,OF,Aaron Hicks,NYY,15,TWTW
125,P,Chris Archer,PIT,11,Margaritaville Fins
126,UT,Shohei Ohtani,LAA,13,Aunt Becky's Scholar Athletes
127,SS,Tim Anderson,CHW,8,Hakuna Moncada
128,P,Rick Porcello,BOS,4,SouthSliders
129,C,Buster Posey,SF,11,Error Jordan
130,P,Mike Foltynewicz,ATL,5,SouthSliders
131,OF,Mitch Haniger,SEA,11,Team Burbatt
132,OF,Justin Upton,LAA,14,Bat shit crazy - ain't it Jon Jay
133,P,Zack Godley,ARI,5,SouthSliders
134,1B,Matt Olson,OAK,11,Team Burbatt
135,1B,Jesus Aguilar,MIL,6,Wofford Terriers
136,C,Wilson Ramos,NYM,6,Bat shit crazy - ain't it Jon Jay
137,OF,Ryan Braun,MIL,4,Margaritaville Fins
138,OF,Ender Inciarte,ATL,5,Aunt Becky's Scholar Athletes
139,OF,Eddie Rosario,MIN,11,Team Burbatt
140,OF,David Dahl,COL,14,Rougned Odor (M)
141,2B,Scooter Gennett,CIN,9,Team Burbatt
142,C,Willson Contreras,CHC,8,Bat shit crazy - ain't it Jon Jay
143,3B,Justin Turner,LAD,12,Bat shit crazy - ain't it Jon Jay
144,C,Yasmani Grandal,MIL,11,Hakuna Moncada
145,2B,Joey Wendle,TB,2,SouthSliders
146,1B,Carlos Santana,CLE,7,Wofford Terriers
147,2B,Jonathan Villar,BAL,5,Team Burbatt
148,OF,Michael Conforto,NYM,14,Team Burbatt
149,C,Danny Jansen,TOR,5,Margaritaville Fins
150,OF,Michael Brantley,HOU,8,Aunt Becky's Scholar Athletes
151,OF,Nomar Mazara,TEX,5,Error Jordan
152,1B,Edwin Encarnacion,SEA,5,Margaritaville Fins
153,P,Charlie Morton,TB,6,Bat shit crazy - ain't it Jon Jay
154,OF,Austin Meadows,TB,4,Team Burbatt
155,P,Robbie Ray,ARI,7,Team Burbatt
156,P,Kyle Freeland,COL,5,New Team 7
157,P,Mychal Givens,BAL,2,Aunt Becky's Scholar Athletes
158,2B,Robinson Cano,NYM,8,Bat shit crazy - ain't it Jon Jay
159,2B,Brian Dozier,WAS,6,TWTW
160,P,Kyle Hendricks,CHC,6,Rougned Odor (M)
161,2B,Jed Lowrie,NYM,3,Bat shit crazy - ain't it Jon Jay
162,P,Tyler Skaggs,LAA,5,Aunt Becky's Scholar Athletes
163,OF,Kyle Schwarber,CHC,7,Margaritaville Fins
164,OF,David Peralta,ARI,5,Aunt Becky's Scholar Athletes
165,P,Sean Doolittle,WAS,4,Wofford Terriers
166,P,Michael Fulmer,DET,2,Hakuna Moncada
167,P,Masahiro Tanaka,NYY,4,Team Burbatt
168,OF,Brandon Nimmo,NYM,7,Team Burbatt
169,P,Steven Matz,NYM,2,TWTW
170,SS,Amed Rosario,NYM,5,Margaritaville Fins
171,P,Ken Giles,TOR,3,Team Burbatt
172,P,Raisel Iglesias,CIN,4,Wofford Terriers
173,OF,Randal Grichuk,TOR,5,Margaritaville Fins
174,C,Welington Castillo,CHW,3,Aunt Becky's Scholar Athletes
175,OF,Franmil Reyes,SD,6,TWTW
176,OF,Stephen Piscotty,OAK,4,Rougned Odor (M)
